condition,param,epsilon,row_edge,col_edge,correlation
vary_c,1.0,0.0,E1,E1,1.000000
vary_c,1.0,0.0,E1,E2,0.173699
vary_c,1.0,0.0,E1,E3,-0.295558
vary_c,1.0,0.0,E2,E1,0.173699
vary_c,1.0,0.0,E2,E2,1.000000
vary_c,1.0,0.0,E2,E3,-0.310240
vary_c,1.0,0.0,E3,E1,-0.295558
vary_c,1.0,0.0,E3,E2,-0.310240
vary_c,1.0,0.0,E3,E3,1.000000
vary_c,3.0,0.0,E1,E1,1.000000
vary_c,3.0,0.0,E1,E2,0.230237
vary_c,3.0,0.0,E1,E3,-0.359393
vary_c,3.0,0.0,E2,E1,0.230237
vary_c,3.0,0.0,E2,E2,1.000000
vary_c,3.0,0.0,E2,E3,-0.373645
vary_c,3.0,0.0,E3,E1,-0.359393
vary_c,3.0,0.0,E3,E2,-0.373645
vary_c,3.0,0.0,E3,E3,1.000000
vary_c,5.0,0.0,E1,E1,1.000000
vary_c,5.0,0.0,E1,E2,0.256325
vary_c,5.0,0.0,E1,E3,-0.404613
vary_c,5.0,0.0,E2,E1,0.256325
vary_c,5.0,0.0,E2,E2,1.000000
vary_c,5.0,0.0,E2,E3,-0.437808
vary_c,5.0,0.0,E3,E1,-0.404613
vary_c,5.0,0.0,E3,E2,-0.437808
vary_c,5.0,0.0,E3,E3,1.000000
vary_eps,1.0,0.0,E1,E1,1.000000
vary_eps,1.0,0.0,E1,E2,0.207431
vary_eps,1.0,0.0,E1,E3,-0.308252
vary_eps,1.0,0.0,E2,E1,0.207431
vary_eps,1.0,0.0,E2,E2,1.000000
vary_eps,1.0,0.0,E2,E3,-0.343790
vary_eps,1.0,0.0,E3,E1,-0.308252
vary_eps,1.0,0.0,E3,E2,-0.343790
vary_eps,1.0,0.0,E3,E3,1.000000
vary_eps,1.0,5.0,E1,E1,1.000000
vary_eps,1.0,5.0,E1,E2,0.194902
vary_eps,1.0,5.0,E1,E3,-0.315894
vary_eps,1.0,5.0,E2,E1,0.194902
vary_eps,1.0,5.0,E2,E2,1.000000
vary_eps,1.0,5.0,E2,E3,-0.358862
vary_eps,1.0,5.0,E3,E1,-0.315894
vary_eps,1.0,5.0,E3,E2,-0.358862
vary_eps,1.0,5.0,E3,E3,1.000000
vary_eps,1.0,10.0,E1,E1,1.000000
vary_eps,1.0,10.0,E1,E2,0.167882
vary_eps,1.0,10.0,E1,E3,-0.298303
vary_eps,1.0,10.0,E2,E1,0.167882
vary_eps,1.0,10.0,E2,E2,1.000000
vary_eps,1.0,10.0,E2,E3,-0.314958
vary_eps,1.0,10.0,E3,E1,-0.298303
vary_eps,1.0,10.0,E3,E2,-0.314958
vary_eps,1.0,10.0,E3,E3,1.000000
