run,comparison,s3i
1,c2=2,0.33044209
2,c2=2,0.22283036
3,c2=2,0.30943957
4,c2=2,0.07728633
5,c2=2,0.24316937
6,c2=2,0.16498036
7,c2=2,0.11007883
8,c2=2,0.13387172
9,c2=2,0.04553344
10,c2=2,0.13707910
11,c2=2,0.07321333
12,c2=2,0.08057954
13,c2=2,0.26430562
14,c2=2,0.02050612
15,c2=2,0.15499592
16,c2=2,0.08273268
17,c2=2,0.03601668
18,c2=2,0.20947480
19,c2=2,0.22894971
20,c2=2,0.14099404
21,c2=2,0.26997697
22,c2=2,0.10466024
23,c2=2,0.18517939
24,c2=2,0.25088169
25,c2=2,0.15930313
26,c2=2,0.05445880
27,c2=2,0.19852506
28,c2=2,0.16075671
29,c2=2,0.17365622
30,c2=2,0.23853586
31,c2=2,0.15200671
32,c2=2,0.16145300
33,c2=2,0.10554207
34,c2=2,0.15101028
35,c2=2,0.12463494
36,c2=2,0.08590741
37,c2=2,0.12270225
38,c2=2,0.14498257
39,c2=2,0.13776455
40,c2=2,0.14357310
41,c2=2,0.03738224
42,c2=2,0.18865682
43,c2=2,0.19212044
44,c2=2,0.18580860
45,c2=2,0.08479831
46,c2=2,0.15256201
47,c2=2,0.12724337
48,c2=2,0.13641102
49,c2=2,0.13681100
50,c2=2,0.04298527
51,c2=2,0.26958977
52,c2=2,0.06458858
53,c2=2,0.01511478
54,c2=2,0.08805283
55,c2=2,0.32988930
56,c2=2,0.26910178
57,c2=2,0.18696924
58,c2=2,0.03588513
59,c2=2,0.09658430
60,c2=2,0.26298259
61,c2=2,0.05691961
62,c2=2,0.17932652
63,c2=2,0.20245504
64,c2=2,0.21884002
65,c2=2,0.04550919
66,c2=2,0.29671706
67,c2=2,0.21293665
68,c2=2,0.24341737
69,c2=2,0.37200991
70,c2=2,0.06918765
71,c2=2,0.22472174
72,c2=2,0.13917935
73,c2=2,0.19052685
74,c2=2,0.30693303
75,c2=2,0.20038196
76,c2=2,0.13522975
77,c2=2,0.06484005
78,c2=2,0.16421312
79,c2=2,0.28450031
80,c2=2,0.23505499
81,c2=2,0.07115977
82,c2=2,0.19436072
83,c2=2,0.16769364
84,c2=2,0.12655746
85,c2=2,0.21893073
86,c2=2,0.17824015
87,c2=2,0.12331845
88,c2=2,0.12331657
89,c2=2,0.05178887
90,c2=2,0.02763975
91,c2=2,0.10954549
92,c2=2,0.07782959
93,c2=2,0.22332202
94,c2=2,0.29969463
95,c2=2,0.06219298
96,c2=2,0.12111709
97,c2=2,0.24733663
98,c2=2,0.16991232
99,c2=2,0.04644055
100,c2=2,0.11685934
1,c2=3,0.52281894
2,c2=3,0.26714161
3,c2=3,0.49283300
4,c2=3,0.27558177
5,c2=3,0.37335081
6,c2=3,0.34966429
7,c2=3,0.22342187
8,c2=3,0.23703416
9,c2=3,0.17198628
10,c2=3,0.15297316
11,c2=3,0.18740161
12,c2=3,0.15920592
13,c2=3,0.46307916
14,c2=3,0.19181667
15,c2=3,0.37467612
16,c2=3,0.24755706
17,c2=3,0.22213378
18,c2=3,0.31874658
19,c2=3,0.33503483
20,c2=3,0.26600048
21,c2=3,0.33156970
22,c2=3,0.27131852
23,c2=3,0.35238403
24,c2=3,0.41986422
25,c2=3,0.36080044
26,c2=3,0.14558475
27,c2=3,0.51591749
28,c2=3,0.39825981
29,c2=3,0.36766254
30,c2=3,0.29972924
31,c2=3,0.30907199
32,c2=3,0.33186620
33,c2=3,0.30095335
34,c2=3,0.24749902
35,c2=3,0.42192759
36,c2=3,0.26516549
37,c2=3,0.17182112
38,c2=3,0.37449554
39,c2=3,0.18604759
40,c2=3,0.24584595
41,c2=3,0.12775814
42,c2=3,0.31750595
43,c2=3,0.32906705
44,c2=3,0.25019301
45,c2=3,0.26788931
46,c2=3,0.24111620
47,c2=3,0.26343462
48,c2=3,0.12679693
49,c2=3,0.31232595
50,c2=3,0.33095925
51,c2=3,0.19476671
52,c2=3,0.29569883
53,c2=3,0.18196684
54,c2=3,0.34315192
55,c2=3,0.36017930
56,c2=3,0.46908278
57,c2=3,0.39538908
58,c2=3,0.07376747
59,c2=3,0.12261779
60,c2=3,0.42012286
61,c2=3,0.12573885
62,c2=3,0.38597569
63,c2=3,0.34337662
64,c2=3,0.39684282
65,c2=3,0.28372558
66,c2=3,0.39683279
67,c2=3,0.27884890
68,c2=3,0.22069961
69,c2=3,0.45450844
70,c2=3,0.30951312
71,c2=3,0.30268937
72,c2=3,0.23046691
73,c2=3,0.42731590
74,c2=3,0.43741071
75,c2=3,0.28822655
76,c2=3,0.26000280
77,c2=3,0.27235963
78,c2=3,0.24901340
79,c2=3,0.43315499
80,c2=3,0.22867336
81,c2=3,0.31870618
82,c2=3,0.20185977
83,c2=3,0.30350070
84,c2=3,0.27645736
85,c2=3,0.30844658
86,c2=3,0.24962517
87,c2=3,0.38662418
88,c2=3,0.17315796
89,c2=3,0.14918467
90,c2=3,0.19395177
91,c2=3,0.30979126
92,c2=3,0.20530209
93,c2=3,0.31533048
94,c2=3,0.39923608
95,c2=3,0.35372882
96,c2=3,0.31921895
97,c2=3,0.28475616
98,c2=3,0.38549539
99,c2=3,0.30064062
100,c2=3,0.39562098
1,c2=4,0.53872852
2,c2=4,0.31587886
3,c2=4,0.61235580
4,c2=4,0.31534049
5,c2=4,0.50466220
6,c2=4,0.37888326
7,c2=4,0.27091025
8,c2=4,0.38301355
9,c2=4,0.30805850
10,c2=4,0.24112689
11,c2=4,0.29238520
12,c2=4,0.26207940
13,c2=4,0.62067706
14,c2=4,0.17547544
15,c2=4,0.41622233
16,c2=4,0.29876381
17,c2=4,0.37282322
18,c2=4,0.36640917
19,c2=4,0.34911970
20,c2=4,0.29362453
21,c2=4,0.39910618
22,c2=4,0.34820697
23,c2=4,0.45723892
24,c2=4,0.46006163
25,c2=4,0.48641104
26,c2=4,0.25177380
27,c2=4,0.57031659
