run,comparison,s3i
1,L2=20,1.60522965
2,L2=20,1.74354531
3,L2=20,1.52255700
4,L2=20,1.64074044
5,L2=20,1.61456805
6,L2=20,1.69502338
7,L2=20,1.84263678
8,L2=20,1.66431276
9,L2=20,1.39872661
10,L2=20,1.56395226
11,L2=20,1.48238360
12,L2=20,1.62312492
13,L2=20,1.51258713
14,L2=20,1.51137317
15,L2=20,1.57053161
16,L2=20,1.67930586
17,L2=20,1.60304693
18,L2=20,1.71312771
19,L2=20,1.67577469
20,L2=20,1.56680841
21,L2=20,1.62129856
22,L2=20,1.60453332
23,L2=20,1.66419285
24,L2=20,1.58055554
25,L2=20,1.46746152
26,L2=20,1.52721259
27,L2=20,1.56352404
28,L2=20,1.65555752
29,L2=20,1.58537323
30,L2=20,1.48553223
31,L2=20,1.61194724
32,L2=20,1.46897346
33,L2=20,1.49714340
34,L2=20,1.55395997
35,L2=20,1.49834627
36,L2=20,1.64542368
37,L2=20,1.63973673
38,L2=20,1.57817030
39,L2=20,1.59908941
40,L2=20,1.65834283
41,L2=20,1.67099876
42,L2=20,1.55593221
43,L2=20,1.40343380
44,L2=20,1.53240579
45,L2=20,1.60554076
46,L2=20,1.61943667
47,L2=20,1.50198191
48,L2=20,1.83251738
49,L2=20,1.64340981
50,L2=20,1.46636159
51,L2=20,1.64900484
52,L2=20,1.53261502
53,L2=20,1.65971784
54,L2=20,1.56412246
55,L2=20,1.86481992
56,L2=20,1.76029588
57,L2=20,1.75804553
58,L2=20,1.70186911
59,L2=20,1.74487812
60,L2=20,1.73431139
61,L2=20,1.51902110
62,L2=20,1.74183887
63,L2=20,1.82017708
64,L2=20,1.62681199
65,L2=20,1.67907461
66,L2=20,1.62642514
67,L2=20,1.67443221
68,L2=20,1.72836307
69,L2=20,1.85763181
70,L2=20,1.48500444
71,L2=20,1.63313601
72,L2=20,1.64459197
73,L2=20,1.43970613
74,L2=20,1.71759930
75,L2=20,1.56481670
76,L2=20,1.57621059
77,L2=20,1.54527790
78,L2=20,1.70665823
79,L2=20,1.45098675
80,L2=20,1.81445975
81,L2=20,1.69751453
82,L2=20,1.68814535
83,L2=20,1.58396352
84,L2=20,1.61103133
85,L2=20,1.72066905
86,L2=20,1.69528977
87,L2=20,1.68775084
88,L2=20,1.73641915
89,L2=20,1.38459328
90,L2=20,1.58853897
91,L2=20,1.64885209
92,L2=20,1.76215956
93,L2=20,1.48362958
94,L2=20,1.60521794
95,L2=20,1.53354226
96,L2=20,1.52957809
97,L2=20,1.63975775
98,L2=20,1.73219506
99,L2=20,1.61251887
100,L2=20,1.54654977
1,L2=30,2.20508984
2,L2=30,2.23465377
3,L2=30,2.09353003
4,L2=30,2.31420696
5,L2=30,2.18148921
6,L2=30,2.17940395
7,L2=30,2.56288683
8,L2=30,2.35554433
9,L2=30,2.32568111
10,L2=30,2.30318467
11,L2=30,2.28019532
12,L2=30,2.18791008
13,L2=30,2.11237305
14,L2=30,2.37493787
15,L2=30,2.18632670
16,L2=30,2.19091109
17,L2=30,2.21739449
18,L2=30,2.53196031
19,L2=30,2.26181801
20,L2=30,2.32106959
21,L2=30,2.33190432
22,L2=30,2.36514865
23,L2=30,2.20859896
24,L2=30,2.46635650
25,L2=30,2.11408196
26,L2=30,2.20434762
27,L2=30,2.41134423
28,L2=30,2.12079235
29,L2=30,2.34399344
30,L2=30,2.26388683
31,L2=30,2.28745976
32,L2=30,2.14178583
33,L2=30,2.40912845
34,L2=30,2.19376090
35,L2=30,2.11499148
36,L2=30,2.36871965
37,L2=30,2.23827152
38,L2=30,2.34427288
39,L2=30,2.26295328
40,L2=30,2.20580225
41,L2=30,2.64261917
42,L2=30,2.20163968
43,L2=30,2.17928404
44,L2=30,2.13431617
45,L2=30,2.06647259
46,L2=30,2.23633226
47,L2=30,2.15560927
48,L2=30,2.33301911
49,L2=30,2.36111017
50,L2=30,2.39750770
51,L2=30,2.25622773
52,L2=30,2.12736972
53,L2=30,2.41008453
54,L2=30,2.38023138
55,L2=30,2.22383208
56,L2=30,2.08917333
57,L2=30,2.44641468
58,L2=30,2.35595141
59,L2=30,2.60531371
60,L2=30,2.22568299
61,L2=30,2.30495440
62,L2=30,2.42376089
63,L2=30,2.50166321
64,L2=30,2.14212402
65,L2=30,2.26127830
66,L2=30,2.40067106
67,L2=30,2.27617573
68,L2=30,2.31976801
69,L2=30,2.22930858
70,L2=30,2.30522512
71,L2=30,2.12569744
72,L2=30,2.25071674
73,L2=30,2.30840076
74,L2=30,2.28544533
75,L2=30,2.33998338
76,L2=30,2.19919867
77,L2=30,2.32066573
78,L2=30,2.56046583
79,L2=30,2.04310478
80,L2=30,2.49726771
81,L2=30,2.23857199
82,L2=30,2.23703483
83,L2=30,2.36358150
84,L2=30,2.28987858
85,L2=30,2.23448734
86,L2=30,2.20128498
87,L2=30,2.09396052
88,L2=30,2.46276176
89,L2=30,2.28604643
90,L2=30,2.34443423
91,L2=30,2.47428170
92,L2=30,2.44346958
93,L2=30,2.33370205
94,L2=30,2.35956186
95,L2=30,2.46134446
96,L2=30,2.26431170
97,L2=30,2.32214522
98,L2=30,2.41632388
99,L2=30,2.23856407
100,L2=30,2.32638344
1,L2=40,2.23276283
2,L2=40,2.16306308
3,L2=40,2.14248870
4,L2=40,2.27418884
5,L2=40,2.17464732
6,L2=40,2.16700688
7,L2=40,2.53550445
8,L2=40,2.36236826
9,L2=40,2.35394937
10,L2=40,2.31768802
11,L2=40,2.21668699
12,L2=40,2.22598921
13,L2=40,2.12362870
14,L2=40,2.41757607
15,L2=40,2.16640482
16,L2=40,2.16829490
17,L2=40,2.22020747
18,L2=40,2.51720809
19,L2=40,2.26435992
20,L2=40,2.29284195
21,L2=40,2.28163491
22,L2=40,2.39648108
23,L2=40,2.18583609
24,L2=40,2.45489816
25,L2=40,2.09715583
26,L2=40,2.23689833
27,L2=40,2.41083001
28,L2=40,2.07413271
29,L2=40,2.33699585
30,L2=40,2.27898524
31,L2=40,2.37239194
32,L2=40,2.17217202
33,L2=40,2.42023357
34,L2=40,2.18001255
35,L2=40,2.11004238
36,L2=40,2.36103171
37,L2=40,2.22982612
38,L2=40,2.35951952
39,L2=40,2.19682411
40,L2=40,2.18147947
41,L2=40,2.60289955
42,L2=40,2.16013022
43,L2=40,2.20704667
44,L2=40,2.14090740
45,L2=40,2.12853343
46,L2=40,2.23527478
47,L2=40,2.17777083
