run,noise_level,s3i
1,c=1,0.16871442
2,c=1,0.06255332
3,c=1,0.02890437
4,c=1,0.07124794
5,c=1,0.25405102
6,c=1,0.13985427
7,c=1,0.00841836
8,c=1,0.01173656
9,c=1,0.06560418
10,c=1,0.07981412
11,c=1,0.07384600
12,c=1,0.07387438
13,c=1,0.24995964
14,c=1,0.07533153
15,c=1,0.06816629
16,c=1,0.02478117
17,c=1,0.06010151
18,c=1,0.01269694
19,c=1,0.00324324
20,c=1,0.07706375
21,c=1,0.15547394
22,c=1,0.06450594
23,c=1,0.10293283
24,c=1,0.01169461
25,c=1,0.25721245
26,c=1,0.01783514
27,c=1,0.01791048
28,c=1,0.14588110
29,c=1,0.21786483
30,c=1,0.05903197
31,c=1,0.16203211
32,c=1,0.21143480
33,c=1,0.00623451
34,c=1,0.05336525
35,c=1,0.03009749
36,c=1,0.07176534
37,c=1,0.02921709
38,c=1,0.00303831
39,c=1,0.09968013
40,c=1,0.05063085
41,c=1,0.11931340
42,c=1,0.11131297
43,c=1,0.06269980
44,c=1,0.01614695
45,c=1,0.03346228
46,c=1,0.13552611
47,c=1,0.05371736
48,c=1,0.08315858
49,c=1,0.06984628
50,c=1,0.00482896
51,c=1,0.04465097
52,c=1,0.04044005
53,c=1,0.09523462
54,c=1,0.03028240
55,c=1,0.11082573
56,c=1,0.18457237
57,c=1,0.18127312
58,c=1,0.00515956
59,c=1,0.11786960
60,c=1,0.12042108
61,c=1,0.03631046
62,c=1,0.02621315
63,c=1,0.10283690
64,c=1,0.06489076
65,c=1,0.05789535
66,c=1,0.01827283
67,c=1,0.10713752
68,c=1,0.00118775
69,c=1,0.11832811
70,c=1,0.02541035
71,c=1,0.02772208
72,c=1,0.03192343
73,c=1,0.10481067
74,c=1,0.16838162
75,c=1,0.12336408
76,c=1,0.00271775
77,c=1,0.00926417
78,c=1,0.14027719
79,c=1,0.06727294
80,c=1,0.06416419
81,c=1,0.11843058
82,c=1,0.08049819
83,c=1,0.05275772
84,c=1,0.00218888
85,c=1,0.12883747
86,c=1,0.06004574
87,c=1,0.08782513
88,c=1,0.17305760
89,c=1,0.05801423
90,c=1,0.08176339
91,c=1,0.02474924
92,c=1,0.09928425
93,c=1,0.10938368
94,c=1,0.11941796
95,c=1,0.02305688
96,c=1,0.00727421
97,c=1,0.02152920
98,c=1,0.02173425
99,c=1,0.03896570
100,c=1,0.00349698
1,c=2,0.07363622
2,c=2,0.00531822
3,c=2,0.01393618
4,c=2,0.18345431
5,c=2,0.25329657
6,c=2,0.16406963
7,c=2,0.07748622
8,c=2,0.06209824
9,c=2,0.04012893
10,c=2,0.04118448
11,c=2,0.11626587
12,c=2,0.16163020
13,c=2,0.00704936
14,c=2,0.12841047
15,c=2,0.11043370
16,c=2,0.18699480
17,c=2,0.15131588
18,c=2,0.06225387
19,c=2,0.09643607
20,c=2,0.06559550
21,c=2,0.13861180
22,c=2,0.04837010
23,c=2,0.00888523
24,c=2,0.13837609
25,c=2,0.11161272
26,c=2,0.04926711
27,c=2,0.01224545
28,c=2,0.18591058
29,c=2,0.21202295
30,c=2,0.05709149
31,c=2,0.14727886
32,c=2,0.21440549
33,c=2,0.12041241
34,c=2,0.05193324
35,c=2,0.01093604
36,c=2,0.11244357
37,c=2,0.10142430
38,c=2,0.12174285
39,c=2,0.10562104
40,c=2,0.10198640
41,c=2,0.07007556
42,c=2,0.23720089
43,c=2,0.09482030
44,c=2,0.10179982
45,c=2,0.24099388
46,c=2,0.22889079
47,c=2,0.13818472
48,c=2,0.20613149
49,c=2,0.04418595
50,c=2,0.14462686
51,c=2,0.09592260
52,c=2,0.07928790
53,c=2,0.11427150
54,c=2,0.25214685
55,c=2,0.06721907
56,c=2,0.02478939
57,c=2,0.10766825
58,c=2,0.08294103
59,c=2,0.12593473
60,c=2,0.05447004
61,c=2,0.03077596
62,c=2,0.00860498
63,c=2,0.10702757
64,c=2,0.18423968
65,c=2,0.16968587
66,c=2,0.07898175
67,c=2,0.11090394
68,c=2,0.04966202
69,c=2,0.05286620
70,c=2,0.02083725
71,c=2,0.02144287
72,c=2,0.07916133
73,c=2,0.05781057
74,c=2,0.15663610
75,c=2,0.09687075
76,c=2,0.05103584
77,c=2,0.09106274
78,c=2,0.13051200
79,c=2,0.00450763
80,c=2,0.06314448
81,c=2,0.14873476
82,c=2,0.12879137
83,c=2,0.09898928
84,c=2,0.04426590
85,c=2,0.01935912
86,c=2,0.02191410
87,c=2,0.13387387
88,c=2,0.08682533
89,c=2,0.06582678
90,c=2,0.18348049
91,c=2,0.18627414
92,c=2,0.01593893
93,c=2,0.10547051
94,c=2,0.07947572
95,c=2,0.01405706
96,c=2,0.15248063
97,c=2,0.07807219
98,c=2,0.02118532
99,c=2,0.12580521
100,c=2,0.07322932
1,c=3,0.09029864
2,c=3,0.16364442
3,c=3,0.05162662
4,c=3,0.06119358
5,c=3,0.10600619
6,c=3,0.00392423
7,c=3,0.10378707
8,c=3,0.14320215
9,c=3,0.12105101
10,c=3,0.13502738
11,c=3,0.13383546
12,c=3,0.15606812
13,c=3,0.01185988
14,c=3,0.19405718
15,c=3,0.02476614
16,c=3,0.08637805
17,c=3,0.10102878
18,c=3,0.04359548
19,c=3,0.04234959
20,c=3,0.18820257
21,c=3,0.21924613
22,c=3,0.10806814
23,c=3,0.04413185
24,c=3,0.10414033
25,c=3,0.09486460
26,c=3,0.03498932
27,c=3,0.00165717
28,c=3,0.20909802
29,c=3,0.22406551
30,c=3,0.16170217
31,c=3,0.07840465
32,c=3,0.15387821
33,c=3,0.16658222
34,c=3,0.15606229
35,c=3,0.07015187
36,c=3,0.02920545
37,c=3,0.16142721
38,c=3,0.06973557
39,c=3,0.18605021
40,c=3,0.11958339
41,c=3,0.25661299
42,c=3,0.19800347
43,c=3,0.12911048
44,c=3,0.15942936
45,c=3,0.21390820
46,c=3,0.22229063
47,c=3,0.16282453
48,c=3,0.18247188
49,c=3,0.13473950
50,c=3,0.11020863
51,c=3,0.18781986
52,c=3,0.02518112
53,c=3,0.18526992
54,c=3,0.14373000
55,c=3,0.16808164
56,c=3,0.10934316
57,c=3,0.10636307
58,c=3,0.17351709
59,c=3,0.17411202
60,c=3,0.02911668
61,c=3,0.03252695
62,c=3,0.07352726
63,c=3,0.17713167
64,c=3,0.04955341
65,c=3,0.16353080
66,c=3,0.17366933
67,c=3,0.14873678
68,c=3,0.17179531
69,c=3,0.08359017
70,c=3,0.13532585
71,c=3,0.00583751
72,c=3,0.07792875
73,c=3,0.12529632
74,c=3,0.14474618
75,c=3,0.10943874
76,c=3,0.00219396
77,c=3,0.03693964
78,c=3,0.11657865
79,c=3,0.05816249
80,c=3,0.20523932
81,c=3,0.02865308
82,c=3,0.21245292
83,c=3,0.06506237
84,c=3,0.06522216
85,c=3,0.04786691
86,c=3,0.05979275
87,c=3,0.06335677
88,c=3,0.11703003
89,c=3,0.08296671
90,c=3,0.22544290
91,c=3,0.09771083
92,c=3,0.05224551
93,c=3,0.05548821
94,c=3,0.15939883
95,c=3,0.06005243
96,c=3,0.14293687
97,c=3,0.00007650
98,c=3,0.12338464
99,c=3,0.04651636
100,c=3,0.11250980
1,c=4,0.10636267
2,c=4,0.24442862
3,c=4,0.03637597
4,c=4,0.23998227
5,c=4,0.13424608
6,c=4,0.12635103
7,c=4,0.04353156
8,c=4,0.17823922
9,c=4,0.15248122
10,c=4,0.27216215
11,c=4,0.07909834
12,c=4,0.00795668
13,c=4,0.01810122
14,c=4,0.21300389
15,c=4,0.09166117
16,c=4,0.17557001
17,c=4,0.13460940
18,c=4,0.13655420
19,c=4,0.07156679
20,c=4,0.23616689
21,c=4,0.12023129
22,c=4,0.07640159
23,c=4,0.04845894
24,c=4,0.09774109
25,c=4,0.15259412
26,c=4,0.07235525
27,c=4,0.05467428
28,c=4,0.21134586
29,c=4,0.19909971
30,c=4,0.09515301
31,c=4,0.08296970
32,c=4,0.20693608
33,c=4,0.19425839
34,c=4,0.11076267
35,c=4,0.14295544
36,c=4,0.11264478
37,c=4,0.07033101
38,c=4,0.06873216
39,c=4,0.22999599
40,c=4,0.12314904
41,c=4,0.18117435
42,c=4,0.13026384
43,c=4,0.04940962
44,c=4,0.21847269
45,c=4,0.13933585
46,c=4,0.00360284
47,c=4,0.23531631
48,c=4,0.16491893
49,c=4,0.03008367
50,c=4,0.14352413
51,c=4,0.19944433
52,c=4,0.11884490
53,c=4,0.21998273
54,c=4,0.20261009
55,c=4,0.09362957
56,c=4,0.11284088
57,c=4,0.08640663
58,c=4,0.11694171
59,c=4,0.06278484
60,c=4,0.15596816
61,c=4,0.13234092
62,c=4,0.01828632
63,c=4,0.07131311
64,c=4,0.13856960
65,c=4,0.16854005
66,c=4,0.15128236
67,c=4,0.10739505
68,c=4,0.18773116
69,c=4,0.02641443
70,c=4,0.06515194
71,c=4,0.02905631
72,c=4,0.04254417
73,c=4,0.08393417
74,c=4,0.10755731
75,c=4,0.10116938
76,c=4,0.05647847
77,c=4,0.14917789
78,c=4,0.10456832
79,c=4,0.09923690
80,c=4,0.17179646
81,c=4,0.08219869
82,c=4,0.32403487
