run,noise_level,s3i
1,c=1,0.29492792
2,c=1,0.26048238
3,c=1,0.32059471
4,c=1,0.22835905
5,c=1,0.26373888
6,c=1,0.26842831
7,c=1,0.27292477
8,c=1,0.29044073
9,c=1,0.29429417
10,c=1,0.33169450
11,c=1,0.22347798
12,c=1,0.26432424
13,c=1,0.33488231
14,c=1,0.25936155
15,c=1,0.29469338
16,c=1,0.26884445
17,c=1,0.24544632
18,c=1,0.28577675
19,c=1,0.24939867
20,c=1,0.31774058
21,c=1,0.30551360
22,c=1,0.36015478
23,c=1,0.25198033
24,c=1,0.21881503
25,c=1,0.31160867
26,c=1,0.28404686
27,c=1,0.32652038
28,c=1,0.24631605
29,c=1,0.30257025
30,c=1,0.25535401
31,c=1,0.32013028
32,c=1,0.28851971
33,c=1,0.23007176
34,c=1,0.24490624
35,c=1,0.31037499
36,c=1,0.30235885
37,c=1,0.24347668
38,c=1,0.26752307
39,c=1,0.27289484
40,c=1,0.33632770
41,c=1,0.29865035
42,c=1,0.24481974
43,c=1,0.34571692
44,c=1,0.24998904
45,c=1,0.25217829
46,c=1,0.30677585
47,c=1,0.24594815
48,c=1,0.34058173
49,c=1,0.30898928
50,c=1,0.31049501
51,c=1,0.28966179
52,c=1,0.32059962
53,c=1,0.25325395
54,c=1,0.29066559
55,c=1,0.36395570
56,c=1,0.26296957
57,c=1,0.31729593
58,c=1,0.25894901
59,c=1,0.30416912
60,c=1,0.29198129
61,c=1,0.26137982
62,c=1,0.34226726
63,c=1,0.33901321
64,c=1,0.24558778
65,c=1,0.25762730
66,c=1,0.28215844
67,c=1,0.25968776
68,c=1,0.26801892
69,c=1,0.32253989
70,c=1,0.24983939
71,c=1,0.26024916
72,c=1,0.22067118
73,c=1,0.27517329
74,c=1,0.25948746
75,c=1,0.29347174
76,c=1,0.30218964
77,c=1,0.25863148
78,c=1,0.33018629
79,c=1,0.26687359
80,c=1,0.29836601
81,c=1,0.27401343
82,c=1,0.24860675
83,c=1,0.37412663
84,c=1,0.20294909
85,c=1,0.32143665
86,c=1,0.29383156
87,c=1,0.26815989
88,c=1,0.28073981
89,c=1,0.30651429
90,c=1,0.32340026
91,c=1,0.27528124
92,c=1,0.30016345
93,c=1,0.31115883
94,c=1,0.36210867
95,c=1,0.31259232
96,c=1,0.32561150
97,c=1,0.29769584
98,c=1,0.26944794
99,c=1,0.27971812
100,c=1,0.33364740
1,c=2,0.29643249
2,c=2,0.34228948
3,c=2,0.32315535
4,c=2,0.29464789
5,c=2,0.29053879
6,c=2,0.36145268
7,c=2,0.32684302
8,c=2,0.31846508
9,c=2,0.29980865
10,c=2,0.29701481
11,c=2,0.35599759
12,c=2,0.31559079
13,c=2,0.28716739
14,c=2,0.23480724
15,c=2,0.32392770
16,c=2,0.36307415
17,c=2,0.32203936
18,c=2,0.25162514
19,c=2,0.35447039
20,c=2,0.32887596
21,c=2,0.28066947
22,c=2,0.27652738
23,c=2,0.28922988
24,c=2,0.33609994
25,c=2,0.37332787
26,c=2,0.31365471
27,c=2,0.28287429
28,c=2,0.38732792
29,c=2,0.35050852
30,c=2,0.34873012
31,c=2,0.36749298
32,c=2,0.28852305
33,c=2,0.26651292
34,c=2,0.31675782
35,c=2,0.29882999
36,c=2,0.34004435
37,c=2,0.25012059
38,c=2,0.34370368
39,c=2,0.33297497
40,c=2,0.34444671
41,c=2,0.37094322
42,c=2,0.27461812
43,c=2,0.36376606
44,c=2,0.24924450
45,c=2,0.32998386
46,c=2,0.26532161
47,c=2,0.27815186
48,c=2,0.28694251
49,c=2,0.32214823
50,c=2,0.31787409
51,c=2,0.30901692
52,c=2,0.28329366
53,c=2,0.26671339
54,c=2,0.27513659
55,c=2,0.38430851
56,c=2,0.25562139
57,c=2,0.25195569
58,c=2,0.27984070
59,c=2,0.26364420
60,c=2,0.31184640
61,c=2,0.29971426
62,c=2,0.36250453
63,c=2,0.36734375
64,c=2,0.31515048
65,c=2,0.27938590
66,c=2,0.21853163
67,c=2,0.31416062
68,c=2,0.29958538
69,c=2,0.38134059
70,c=2,0.28102793
71,c=2,0.31513330
72,c=2,0.25087734
73,c=2,0.26139452
74,c=2,0.35120437
75,c=2,0.33504199
76,c=2,0.33379415
77,c=2,0.27589457
78,c=2,0.34173271
79,c=2,0.25683970
80,c=2,0.32363716
81,c=2,0.33845780
82,c=2,0.29425426
83,c=2,0.28097230
84,c=2,0.30826323
85,c=2,0.29900832
86,c=2,0.23561781
87,c=2,0.36047994
88,c=2,0.30492845
89,c=2,0.33349940
90,c=2,0.33542928
91,c=2,0.28526527
92,c=2,0.31661297
93,c=2,0.31125391
94,c=2,0.30854022
95,c=2,0.42002668
96,c=2,0.36814355
97,c=2,0.32812099
98,c=2,0.29966755
99,c=2,0.27053365
100,c=2,0.29700552
1,c=3,0.33132243
2,c=3,0.35518276
3,c=3,0.32822457
4,c=3,0.32203177
5,c=3,0.27620628
6,c=3,0.34403418
7,c=3,0.36032284
8,c=3,0.26616899
9,c=3,0.31439573
10,c=3,0.36522893
11,c=3,0.37000815
12,c=3,0.38108199
13,c=3,0.33546521
14,c=3,0.26630398
15,c=3,0.31840595
16,c=3,0.37703137
17,c=3,0.29110899
18,c=3,0.32373960
19,c=3,0.33645277
20,c=3,0.32252271
21,c=3,0.32655049
22,c=3,0.27440616
23,c=3,0.26732902
24,c=3,0.33675246
25,c=3,0.35401530
26,c=3,0.36024328
27,c=3,0.27508015
28,c=3,0.39174306
29,c=3,0.31569716
30,c=3,0.29189500
31,c=3,0.34462891
32,c=3,0.29939991
33,c=3,0.32809750
34,c=3,0.30443212
35,c=3,0.25710496
36,c=3,0.32265098
37,c=3,0.30144650
38,c=3,0.35915764
39,c=3,0.41981505
40,c=3,0.36064035
